OTUID	Group
ASV_37	WT3
ASV_36	OE3
ASV_13	WT1
ASV_17	WT2
ASV_26	OE2
ASV_39	KO3
ASV_28	OE5
ASV_33	KO6
ASV_68	KO5
ASV_29	KO6
ASV_6	OE1
ASV_10	WT4
ASV_21	WT4
ASV_77	WT4
ASV_1276	KO4
ASV_9	KO5
ASV_16	OE2
ASV_43	OE2
ASV_112	OE3
ASV_15	WT1
ASV_22	WT2
ASV_10	WT6
ASV_17	WT6
ASV_30	OE5
ASV_29	OE5
ASV_43	WT5
ASV_36	KO4
ASV_15	OE4
ASV_28	OE4
ASV_51	WT4
ASV_29	WT5
ASV_1276	OE1
ASV_17	OE5
ASV_36	WT1
ASV_53	WT6
ASV_38	KO1
ASV_29	WT1
ASV_15	WT2
ASV_23	WT4
ASV_70	WT5
ASV_1276	KO5
ASV_29	OE2
ASV_35	WT4
ASV_28	WT6
ASV_37	WT6
ASV_39	KO2
ASV_45	KO3
ASV_41	KO4
ASV_12	OE1
ASV_29	OE3
ASV_12	OE6
ASV_27	KO2
ASV_72	KO4
ASV_173	KO5
ASV_34	OE6
ASV_20	WT1
ASV_31	WT2
ASV_52	WT2
ASV_10	WT3
ASV_16	KO1
ASV_16	KO2
ASV_42	KO4
ASV_13	KO6
ASV_1276	KO6
ASV_10	OE3
ASV_1276	OE6
ASV_34	WT3
ASV_27	WT6
ASV_94	WT6
ASV_7	KO1
ASV_30	KO1
ASV_1276	KO2
ASV_45	KO4
ASV_54	KO5
ASV_41	KO6
ASV_11	OE3
ASV_16	WT3
ASV_7	WT4
ASV_22	KO6
ASV_34	OE1
ASV_81	OE5
ASV_56	WT2
ASV_35	WT3
ASV_44	KO2
ASV_68	KO3
ASV_67	KO5
ASV_16	OE5
ASV_1276	WT3
ASV_30	KO2
ASV_35	KO2
ASV_33	KO5
ASV_7	KO6
ASV_17	OE3
ASV_29	OE4
ASV_27	OE6
ASV_39	WT2
ASV_28	WT3
ASV_35	WT5
ASV_8	KO5
ASV_53	OE1
ASV_21	OE5
ASV_30	WT2
ASV_34	KO1
ASV_35	KO4
ASV_27	KO6
ASV_17	OE4
ASV_7	OE6
ASV_30	WT1
ASV_24	WT2
ASV_54	WT2
ASV_22	WT4
ASV_37	WT5
ASV_59	KO5
ASV_28	KO6
ASV_21	OE1
ASV_21	WT1
ASV_33	WT2
ASV_13	WT3
ASV_30	WT5
ASV_23	WT5
ASV_51	KO2
ASV_52	KO3
ASV_31	KO4
ASV_31	KO6
ASV_47	KO6
ASV_40	OE2
ASV_46	OE6
ASV_42	WT1
ASV_21	KO3
ASV_16	KO6
ASV_37	OE5
ASV_83	WT1
ASV_29	WT2
ASV_37	WT2
ASV_27	WT3
ASV_173	WT4
ASV_39	WT4
ASV_21	WT6
ASV_173	WT6
ASV_44	KO3
ASV_164	KO3
ASV_72	KO6
ASV_37	OE1
ASV_30	OE3
ASV_33	OE3
ASV_45	WT2
ASV_41	KO3
ASV_51	KO3
ASV_44	KO5
ASV_13	OE1
ASV_21	OE2
ASV_20	OE4
ASV_21	OE6
ASV_37	OE6
ASV_34	WT2
ASV_34	WT6
ASV_50	KO2
ASV_10	OE1
ASV_35	OE4
ASV_28	OE6
ASV_29	WT3
ASV_31	WT6
ASV_52	WT6
ASV_14	KO1
ASV_41	KO1
