OTUID	Group
ASV_1309	OE3
ASV_442	OE3
ASV_940	OE3
ASV_562	OE3
ASV_677	OE3
ASV_558	OE3
ASV_546	OE3
ASV_712	OE3
ASV_720	OE3
ASV_1351	OE3
ASV_971	OE3
ASV_645	OE3
ASV_661	OE3
ASV_838	OE3
ASV_1014	OE3
ASV_1247	OE3
ASV_86	OE4
ASV_124	OE4
ASV_157	OE4
ASV_164	OE4
ASV_188	OE4
ASV_200	OE4
ASV_246	OE4
ASV_189	OE4
ASV_215	OE4
ASV_212	OE4
ASV_247	OE4
ASV_1127	OE4
ASV_285	OE4
ASV_229	OE4
ASV_277	OE4
ASV_317	OE4
ASV_360	OE4
ASV_254	OE4
ASV_298	OE4
ASV_893	OE4
ASV_327	OE4
ASV_287	OE4
ASV_336	OE4
ASV_364	OE4
ASV_405	OE4
ASV_797	OE4
ASV_424	OE4
ASV_361	OE4
ASV_333	OE4
ASV_629	OE4
ASV_422	OE4
ASV_335	OE4
ASV_714	OE4
ASV_363	OE4
ASV_421	OE4
ASV_1450	OE4
ASV_511	OE4
ASV_731	OE4
ASV_800	OE4
ASV_544	OE4
ASV_1411	OE4
ASV_1091	OE4
ASV_1191	OE4
ASV_645	OE4
ASV_657	OE4
ASV_833	OE4
ASV_1408	OE4
ASV_1220	OE4
ASV_1420	OE4
ASV_154	OE5
ASV_192	OE5
ASV_158	OE5
ASV_180	OE5
ASV_181	OE5
ASV_197	OE5
ASV_217	OE5
ASV_406	OE5
ASV_263	OE5
ASV_1027	OE5
ASV_327	OE5
ASV_357	OE5
ASV_491	OE5
ASV_312	OE5
ASV_346	OE5
ASV_583	OE5
ASV_854	OE5
ASV_424	OE5
ASV_368	OE5
ASV_571	OE5
ASV_335	OE5
ASV_529	OE5
ASV_586	OE5
ASV_1017	OE5
ASV_532	OE5
ASV_506	OE5
ASV_737	OE5
ASV_612	OE5
ASV_498	OE5
ASV_446	OE5
ASV_1254	OE5
ASV_997	OE5
ASV_636	OE5
ASV_1511	OE5
ASV_410	OE6
ASV_141	OE6
ASV_148	OE6
ASV_168	OE6
ASV_136	OE6
ASV_157	OE6
ASV_474	OE6
ASV_251	OE6
ASV_225	OE6
ASV_202	OE6
ASV_212	OE6
ASV_247	OE6
ASV_243	OE6
ASV_278	OE6
ASV_315	OE6
ASV_274	OE6
ASV_298	OE6
ASV_893	OE6
ASV_357	OE6
ASV_572	OE6
ASV_374	OE6
ASV_459	OE6
ASV_496	OE6
ASV_362	OE6
ASV_499	OE6
ASV_295	OE6
ASV_854	OE6
ASV_453	OE6
ASV_304	OE6
ASV_371	OE6
ASV_427	OE6
ASV_684	OE6
ASV_338	OE6
ASV_379	OE6
ASV_920	OE6
ASV_381	OE6
ASV_351	OE6
ASV_454	OE6
ASV_1125	OE6
ASV_1493	OE6
ASV_476	OE6
ASV_585	OE6
ASV_416	OE6
ASV_495	OE6
ASV_506	OE6
ASV_505	OE6
ASV_612	OE6
ASV_451	OE6
ASV_473	OE6
ASV_494	OE6
ASV_1002	OE6
ASV_1376	OE6
ASV_1506	OE6
ASV_555	OE6
ASV_481	OE6
ASV_1004	OE6
ASV_1375	OE6
ASV_1086	OE6
ASV_1214	OE6
ASV_581	OE6
ASV_730	OE6
ASV_971	OE6
ASV_1019	OE6
ASV_1249	OE6
ASV_606	OE6
ASV_753	OE6
ASV_1365	OE6
ASV_815	OE6
ASV_1015	OE6
ASV_912	OE6
ASV_933	OE6
ASV_1114	OE6
ASV_1398	OE6
ASV_288	WT1
ASV_347	WT1
ASV_605	WT1
ASV_195	WT1
ASV_261	WT1
ASV_248	WT1
ASV_318	WT1
ASV_254	WT1
ASV_365	WT1
ASV_377	WT1
ASV_549	WT1
ASV_297	WT1
ASV_349	WT1
ASV_629	WT1
ASV_348	WT1
ASV_480	WT1
ASV_529	WT1
ASV_530	WT1
ASV_391	WT1
ASV_389	WT1
ASV_527	WT1
ASV_746	WT1
ASV_397	WT1
ASV_630	WT1
ASV_632	WT1
ASV_443	WT1
ASV_594	WT1
ASV_800	WT1
ASV_919	WT1
ASV_937	WT1
ASV_557	WT1
ASV_575	WT1
ASV_905	WT1
ASV_1249	WT1
ASV_81	WT2
ASV_142	WT2
ASV_149	WT2
ASV_159	WT2
ASV_180	WT2
ASV_322	WT2
ASV_246	WT2
ASV_189	WT2
ASV_718	WT2
ASV_250	WT2
ASV_1311	WT2
ASV_242	WT2
ASV_265	WT2
ASV_277	WT2
ASV_278	WT2
ASV_254	WT2
ASV_274	WT2
ASV_336	WT2
ASV_275	WT2
ASV_329	WT2
ASV_346	WT2
ASV_364	WT2
ASV_365	WT2
ASV_854	WT2
ASV_304	WT2
ASV_371	WT2
ASV_684	WT2
ASV_363	WT2
ASV_454	WT2
ASV_397	WT2
ASV_630	WT2
ASV_858	WT2
ASV_498	WT2
ASV_1259	WT2
ASV_500	WT2
ASV_447	WT2
ASV_1002	WT2
ASV_515	WT2
ASV_642	WT2
ASV_564	WT2
ASV_729	WT2
ASV_1412	WT2
ASV_43	WT3
ASV_102	WT3
ASV_179	WT3
ASV_157	WT3
ASV_969	WT3
ASV_183	WT3
ASV_163	WT3
ASV_201	WT3
ASV_210	WT3
ASV_249	WT3
ASV_265	WT3
ASV_273	WT3
ASV_245	WT3
ASV_318	WT3
ASV_360	WT3
ASV_893	WT3
ASV_279	WT3
ASV_293	WT3
ASV_301	WT3
ASV_336	WT3
ASV_930	WT3
ASV_350	WT3
ASV_299	WT3
ASV_292	WT3
ASV_341	WT3
ASV_356	WT3
ASV_361	WT3
ASV_417	WT3
ASV_428	WT3
ASV_463	WT3
ASV_529	WT3
ASV_450	WT3
ASV_454	WT3
ASV_476	WT3
ASV_484	WT3
ASV_509	WT3
ASV_842	WT3
ASV_435	WT3
ASV_940	WT3
ASV_569	WT3
ASV_1162	WT3
ASV_1303	WT3
ASV_623	WT3
ASV_926	WT3
ASV_266	WT4
ASV_172	WT4
ASV_147	WT4
ASV_150	WT4
ASV_185	WT4
ASV_190	WT4
ASV_207	WT4
ASV_718	WT4
ASV_344	WT4
ASV_241	WT4
ASV_255	WT4
ASV_286	WT4
ASV_572	WT4
ASV_419	WT4
ASV_336	WT4
ASV_592	WT4
ASV_433	WT4
ASV_396	WT4
ASV_797	WT4
ASV_356	WT4
ASV_398	WT4
ASV_641	WT4
ASV_1081	WT4
ASV_391	WT4
ASV_1160	WT4
ASV_746	WT4
ASV_450	WT4
ASV_465	WT4
ASV_743	WT4
ASV_462	WT4
ASV_974	WT4
ASV_553	WT4
ASV_441	WT4
ASV_750	WT4
ASV_588	WT4
ASV_622	WT4
ASV_1280	WT4
ASV_1423	WT4
ASV_627	WT4
ASV_1110	WT4
ASV_1087	WT4
ASV_1171	WT4
ASV_1316	WT4
ASV_112	WT5
ASV_142	WT5
ASV_172	WT5
ASV_169	WT5
ASV_193	WT5
ASV_195	WT5
ASV_204	WT5
ASV_359	WT5
ASV_1127	WT5
ASV_280	WT5
ASV_406	WT5
ASV_243	WT5
ASV_256	WT5
ASV_310	WT5
ASV_486	WT5
ASV_298	WT5
ASV_572	WT5
ASV_491	WT5
ASV_284	WT5
ASV_520	WT5
ASV_275	WT5
ASV_296	WT5
ASV_334	WT5
ASV_732	WT5
ASV_368	WT5
ASV_463	WT5
ASV_434	WT5
ASV_561	WT5
ASV_519	WT5
ASV_515	WT5
ASV_493	WT5
ASV_859	WT5
ASV_1516	WT5
ASV_832	WT5
ASV_1102	WT5
ASV_1333	WT5
ASV_114	WT6
ASV_140	WT6
ASV_283	WT6
ASV_169	WT6
ASV_251	WT6
ASV_180	WT6
ASV_176	WT6
ASV_211	WT6
ASV_270	WT6
ASV_369	WT6
ASV_237	WT6
ASV_279	WT6
ASV_300	WT6
ASV_374	WT6
ASV_290	WT6
ASV_733	WT6
ASV_428	WT6
ASV_463	WT6
ASV_714	WT6
ASV_381	WT6
ASV_395	WT6
ASV_439	WT6
ASV_397	WT6
ASV_506	WT6
ASV_423	WT6
ASV_826	WT6
ASV_871	WT6
ASV_1450	WT6
ASV_501	WT6
ASV_525	WT6
ASV_846	WT6
ASV_1019	WT6
ASV_512	WT6
ASV_1528	WT6
ASV_1419	WT6
ASV_1030	WT6
ASV_1084	WT6
ASV_1087	WT6
ASV_1212	WT6
ASV_56	KO1
ASV_410	KO1
ASV_185	KO1
ASV_171	KO1
ASV_218	KO1
ASV_211	KO1
ASV_191	KO1
ASV_214	KO1
ASV_250	KO1
ASV_1311	KO1
ASV_369	KO1
ASV_273	KO1
ASV_360	KO1
ASV_259	KO1
ASV_228	KO1
ASV_284	KO1
ASV_275	KO1
ASV_312	KO1
ASV_329	KO1
ASV_341	KO1
ASV_854	KO1
ASV_294	KO1
ASV_625	KO1
ASV_304	KO1
ASV_340	KO1
ASV_913	KO1
ASV_629	KO1
ASV_422	KO1
ASV_343	KO1
ASV_1125	KO1
ASV_1493	KO1
ASV_632	KO1
ASV_477	KO1
ASV_591	KO1
ASV_634	KO1
ASV_466	KO1
ASV_574	KO1
ASV_578	KO1
ASV_562	KO1
ASV_1456	KO1
ASV_559	KO1
ASV_618	KO1
ASV_658	KO1
ASV_602	KO1
ASV_873	KO1
ASV_1109	KO1
ASV_1465	KO1
ASV_819	KO1
ASV_806	KO1
ASV_1038	KO1
ASV_922	KO1
ASV_728	KO1
ASV_1347	KO1
ASV_1359	KO1
ASV_827	KO1
ASV_1105	KO1
ASV_881	KO1
ASV_1453	KO1
ASV_154	KO2
ASV_180	KO2
ASV_216	KO2
ASV_215	KO2
ASV_214	KO2
ASV_240	KO2
ASV_199	KO2
ASV_219	KO2
ASV_252	KO2
ASV_242	KO2
ASV_233	KO2
ASV_300	KO2
ASV_499	KO2
ASV_311	KO2
ASV_341	KO2
ASV_296	KO2
ASV_641	KO2
ASV_848	KO2
ASV_343	KO2
ASV_684	KO2
ASV_409	KO2
ASV_444	KO2
ASV_434	KO2
ASV_962	KO2
ASV_608	KO2
ASV_547	KO2
ASV_447	KO2
ASV_1246	KO2
ASV_917	KO2
ASV_701	KO2
ASV_524	KO2
ASV_638	KO2
ASV_508	KO2
ASV_544	KO2
ASV_829	KO2
ASV_757	KO2
ASV_1315	KO2
ASV_602	KO2
ASV_1467	KO2
ASV_895	KO2
ASV_1116	KO2
ASV_896	KO2
ASV_1188	KO2
ASV_982	KO2
ASV_1121	KO2
ASV_143	KO3
ASV_156	KO3
ASV_184	KO3
ASV_207	KO3
ASV_261	KO3
ASV_285	KO3
ASV_250	KO3
ASV_272	KO3
ASV_248	KO3
ASV_277	KO3
ASV_744	KO3
ASV_264	KO3
ASV_284	KO3
ASV_364	KO3
ASV_377	KO3
ASV_422	KO3
ASV_309	KO3
ASV_324	KO3
ASV_684	KO3
ASV_348	KO3
ASV_571	KO3
ASV_1234	KO3
ASV_366	KO3
ASV_429	KO3
ASV_397	KO3
ASV_495	KO3
ASV_563	KO3
ASV_505	KO3
ASV_449	KO3
ASV_956	KO3
ASV_466	KO3
ASV_875	KO3
ASV_1491	KO3
ASV_639	KO3
ASV_725	KO3
ASV_1231	KO3
ASV_801	KO3
ASV_949	KO3
ASV_1326	KO3
ASV_802	KO3
ASV_1300	KO3
ASV_1324	KO3
ASV_1257	KO3
ASV_1133	KO3
ASV_88	KO4
ASV_100	KO4
ASV_111	KO4
ASV_115	KO4
ASV_139	KO4
ASV_151	KO4
ASV_192	KO4
ASV_158	KO4
ASV_169	KO4
ASV_181	KO4
ASV_204	KO4
ASV_249	KO4
ASV_261	KO4
ASV_199	KO4
ASV_223	KO4
ASV_239	KO4
ASV_486	KO4
ASV_744	KO4
ASV_298	KO4
ASV_311	KO4
ASV_378	KO4
ASV_289	KO4
ASV_341	KO4
ASV_352	KO4
ASV_422	KO4
ASV_567	KO4
ASV_367	KO4
ASV_1281	KO4
ASV_335	KO4
ASV_529	KO4
ASV_402	KO4
ASV_363	KO4
ASV_962	KO4
ASV_426	KO4
ASV_858	KO4
ASV_1259	KO4
ASV_956	KO4
ASV_1036	KO4
ASV_472	KO4
ASV_652	KO4
ASV_1258	KO4
ASV_533	KO4
ASV_756	KO4
ASV_1094	KO4
ASV_1003	KO4
ASV_967	KO4
ASV_1055	KO4
ASV_1243	KO4
ASV_112	KO5
ASV_415	KO5
ASV_246	KO5
ASV_206	KO5
ASV_272	KO5
ASV_344	KO5
ASV_263	KO5
ASV_345	KO5
ASV_486	KO5
ASV_259	KO5
ASV_298	KO5
ASV_228	KO5
ASV_287	KO5
ASV_374	KO5
ASV_419	KO5
ASV_275	KO5
ASV_311	KO5
ASV_330	KO5
ASV_854	KO5
ASV_625	KO5
ASV_349	KO5
ASV_422	KO5
ASV_732	KO5
ASV_567	KO5
ASV_367	KO5
ASV_1234	KO5
ASV_425	KO5
ASV_467	KO5
ASV_432	KO5
ASV_604	KO5
ASV_502	KO5
ASV_1004	KO5
ASV_525	KO5
ASV_1020	KO5
ASV_576	KO5
ASV_904	KO5
ASV_1064	KO5
ASV_1030	KO5
ASV_1094	KO5
ASV_1114	KO5
ASV_1061	KO5
ASV_144	KO6
ASV_474	KO6
ASV_187	KO6
ASV_322	KO6
ASV_218	KO6
ASV_253	KO6
ASV_223	KO6
ASV_344	KO6
ASV_241	KO6
ASV_273	KO6
ASV_243	KO6
ASV_278	KO6
ASV_286	KO6
ASV_302	KO6
ASV_491	KO6
ASV_336	KO6
ASV_355	KO6
ASV_854	KO6
ASV_733	KO6
ASV_422	KO6
ASV_309	KO6
ASV_892	KO6
ASV_394	KO6
ASV_429	KO6
ASV_401	KO6
ASV_465	KO6
ASV_467	KO6
ASV_1520	KO6
ASV_435	KO6
ASV_481	KO6
ASV_918	KO6
ASV_626	KO6
ASV_1128	KO6
ASV_713	KO6
ASV_835	KO6
ASV_778	KO6
ASV_770	KO6
ASV_651	KO6
ASV_1135	KO6
ASV_938	KO6
ASV_759	KO6
ASV_1248	KO6
ASV_98	OE1
ASV_288	OE1
ASV_141	OE1
ASV_148	OE1
ASV_535	OE1
ASV_171	OE1
ASV_202	OE1
ASV_249	OE1
ASV_240	OE1
ASV_198	OE1
ASV_270	OE1
ASV_331	OE1
ASV_256	OE1
ASV_254	OE1
ASV_259	OE1
ASV_287	OE1
ASV_572	OE1
ASV_350	OE1
ASV_299	OE1
ASV_1275	OE1
ASV_383	OE1
ASV_324	OE1
ASV_567	OE1
ASV_684	OE1
ASV_409	OE1
ASV_411	OE1
ASV_461	OE1
ASV_892	OE1
ASV_392	OE1
ASV_480	OE1
ASV_444	OE1
ASV_489	OE1
ASV_402	OE1
ASV_440	OE1
ASV_372	OE1
ASV_454	OE1
ASV_509	OE1
ASV_702	OE1
ASV_495	OE1
ASV_554	OE1
ASV_563	OE1
ASV_483	OE1
ASV_442	OE1
ASV_683	OE1
ASV_537	OE1
ASV_781	OE1
ASV_553	OE1
ASV_1149	OE1
ASV_1450	OE1
ASV_451	OE1
ASV_511	OE1
ASV_574	OE1
ASV_1376	OE1
ASV_681	OE1
ASV_919	OE1
ASV_937	OE1
ASV_675	OE1
ASV_559	OE1
ASV_786	OE1
ASV_963	OE1
ASV_541	OE1
ASV_582	OE1
ASV_1403	OE1
ASV_905	OE1
ASV_991	OE1
ASV_1330	OE1
ASV_665	OE1
ASV_1194	OE1
ASV_1240	OE1
ASV_1038	OE1
ASV_1144	OE1
ASV_1435	OE1
ASV_1132	OE1
ASV_1148	OE1
ASV_54	OE2
ASV_90	OE2
ASV_147	OE2
ASV_136	OE2
ASV_246	OE2
ASV_216	OE2
ASV_209	OE2
ASV_250	OE2
ASV_1311	OE2
ASV_317	OE2
ASV_345	OE2
ASV_233	OE2
ASV_867	OE2
ASV_405	OE2
ASV_610	OE2
ASV_365	OE2
ASV_361	OE2
ASV_349	OE2
ASV_368	OE2
ASV_411	OE2
ASV_335	OE2
ASV_436	OE2
ASV_480	OE2
ASV_529	OE2
ASV_363	OE2
ASV_439	OE2
ASV_534	OE2
ASV_702	OE2
ASV_418	OE2
ASV_781	OE2
ASV_1259	OE2
ASV_502	OE2
ASV_917	OE2
ASV_701	OE2
ASV_493	OE2
ASV_600	OE2
ASV_472	OE2
ASV_595	OE2
ASV_659	OE2
ASV_786	OE2
ASV_541	OE2
ASV_617	OE2
ASV_1020	OE2
ASV_1351	OE2
ASV_667	OE2
ASV_1301	OE2
ASV_1083	OE2
ASV_565	OE2
ASV_623	OE2
ASV_687	OE2
ASV_1423	OE2
ASV_1458	OE2
ASV_839	OE2
ASV_807	OE2
ASV_1065	OE2
ASV_1116	OE2
ASV_1063	OE2
ASV_852	OE2
ASV_977	OE2
ASV_347	OE3
ASV_147	OE3
ASV_969	OE3
ASV_180	OE3
ASV_202	OE3
ASV_246	OE3
ASV_206	OE3
ASV_209	OE3
ASV_214	OE3
ASV_313	OE3
ASV_272	OE3
ASV_277	OE3
ASV_317	OE3
ASV_486	OE3
ASV_744	OE3
ASV_259	OE3
ASV_301	OE3
ASV_284	OE3
ASV_362	OE3
ASV_312	OE3
ASV_329	OE3
ASV_332	OE3
ASV_396	OE3
ASV_309	OE3
ASV_324	OE3
ASV_428	OE3
ASV_571	OE3
ASV_1234	OE3
ASV_366	OE3
ASV_401	OE3
ASV_538	OE3
ASV_397	OE3
ASV_962	OE3
ASV_630	OE3
ASV_508	OE3
ASV_972	OE3
ASV_582	OE3
ASV_873	OE3
ASV_895	OE3
ASV_1441	OE3
ASV_807	OE3
ASV_1357	OE3
ASV_1279	OE3
ASV_1268	OE3
ASV_159	OE4
ASV_251	OE4
ASV_190	OE4
ASV_193	OE4
ASV_195	OE4
ASV_197	OE4
ASV_220	OE4
ASV_268	OE4
ASV_359	OE4
ASV_240	OE4
ASV_219	OE4
ASV_280	OE4
ASV_278	OE4
ASV_279	OE4
ASV_723	OE4
ASV_572	OE4
ASV_264	OE4
ASV_374	OE4
ASV_496	OE4
ASV_362	OE4
ASV_312	OE4
ASV_299	OE4
ASV_269	OE4
ASV_384	OE4
ASV_292	OE4
ASV_383	OE4
ASV_549	OE4
ASV_370	OE4
ASV_403	OE4
ASV_381	OE4
ASV_389	OE4
ASV_401	OE4
ASV_454	OE4
ASV_702	OE4
ASV_554	OE4
ASV_711	OE4
ASV_630	OE4
ASV_1520	OE4
ASV_435	OE4
ASV_441	OE4
ASV_460	OE4
ASV_569	OE4
ASV_502	OE4
ASV_1246	OE4
ASV_574	OE4
ASV_493	OE4
ASV_559	OE4
ASV_546	OE4
ASV_725	OE4
ASV_622	OE4
ASV_838	OE4
ASV_793	OE4
ASV_756	OE4
ASV_760	OE4
ASV_1174	OE4
ASV_1009	OE4
ASV_891	OE4
ASV_164	OE5
ASV_159	OE5
ASV_185	OE5
ASV_322	OE5
ASV_206	OE5
ASV_198	OE5
ASV_250	OE5
ASV_344	OE5
ASV_469	OE5
ASV_256	OE5
ASV_317	OE5
ASV_254	OE5
ASV_279	OE5
ASV_723	OE5
ASV_287	OE5
ASV_284	OE5
ASV_362	OE5
ASV_328	OE5
ASV_323	OE5
ASV_797	OE5
ASV_377	OE5
ASV_324	OE5
ASV_367	OE5
ASV_1281	OE5
ASV_436	OE5
ASV_379	OE5
ASV_480	OE5
ASV_425	OE5
ASV_391	OE5
ASV_1160	OE5
ASV_1493	OE5
ASV_421	OE5
ASV_495	OE5
ASV_442	OE5
ASV_542	OE5
ASV_537	OE5
ASV_468	OE5
ASV_497	OE5
ASV_458	OE5
ASV_591	OE5
ASV_871	OE5
ASV_420	OE5
ASV_578	OE5
ASV_620	OE5
ASV_738	OE5
ASV_493	OE5
ASV_487	OE5
ASV_937	OE5
ASV_918	OE5
ASV_782	OE5
ASV_546	OE5
ASV_884	OE5
ASV_541	OE5
ASV_656	OE5
ASV_753	OE5
ASV_863	OE5
ASV_767	OE5
ASV_789	OE5
ASV_1059	OE5
ASV_947	OE5
ASV_1263	OE5
ASV_1074	OE5
ASV_1082	OE5
ASV_1420	OE5
ASV_96	OE6
ASV_843	OE6
ASV_140	OE6
ASV_201	OE6
ASV_211	OE6
ASV_191	OE6
ASV_220	OE6
ASV_207	OE6
ASV_224	OE6
ASV_240	OE6
ASV_331	OE6
ASV_369	OE6
ASV_406	OE6
ASV_265	OE6
ASV_256	OE6
ASV_245	OE6
ASV_277	OE6
ASV_310	OE6
ASV_318	OE6
ASV_723	OE6
ASV_327	OE6
ASV_264	OE6
ASV_311	OE6
ASV_405	OE6
ASV_341	OE6
ASV_422	OE6
ASV_571	OE6
ASV_892	OE6
ASV_335	OE6
ASV_392	OE6
ASV_402	OE6
ASV_366	OE6
ASV_386	OE6
ASV_465	OE6
ASV_554	OE6
ASV_737	OE6
ASV_542	OE6
ASV_441	OE6
ASV_580	OE6
ASV_511	OE6
ASV_701	OE6
ASV_490	OE6
ASV_1456	OE6
ASV_552	OE6
ASV_972	OE6
ASV_997	OE6
ASV_475	OE6
ASV_617	OE6
ASV_829	OE6
ASV_880	OE6
ASV_533	OE6
ASV_958	OE6
ASV_985	OE6
ASV_906	OE6
ASV_770	OE6
ASV_685	OE6
ASV_1145	OE6
ASV_1113	OE6
ASV_1190	OE6
ASV_1233	OE6
ASV_813	OE6
ASV_1029	OE6
ASV_1123	OE6
ASV_140	WT1
ASV_283	WT1
ASV_165	WT1
ASV_474	WT1
ASV_201	WT1
ASV_209	WT1
ASV_285	WT1
ASV_239	WT1
ASV_369	WT1
ASV_237	WT1
ASV_260	WT1
ASV_243	WT1
ASV_298	WT1
ASV_572	WT1
ASV_332	WT1
ASV_378	WT1
ASV_384	WT1
ASV_295	WT1
ASV_296	WT1
ASV_371	WT1
ASV_548	WT1
ASV_848	WT1
ASV_402	WT1
ASV_538	WT1
ASV_554	WT1
ASV_563	WT1
ASV_858	WT1
ASV_468	WT1
ASV_460	WT1
ASV_604	WT1
ASV_569	WT1
ASV_1002	WT1
ASV_1273	WT1
ASV_510	WT1
ASV_851	WT1
ASV_1303	WT1
ASV_710	WT1
ASV_986	WT1
ASV_1205	WT1
ASV_911	WT1
ASV_703	WT1
ASV_722	WT1
ASV_1270	WT1
ASV_63	WT2
ASV_92	WT2
ASV_282	WT2
ASV_141	WT2
ASV_192	WT2
ASV_213	WT2
ASV_535	WT2
ASV_190	WT2
ASV_201	WT2
ASV_220	WT2
ASV_249	WT2
ASV_359	WT2
ASV_331	WT2
ASV_273	WT2
ASV_256	WT2
ASV_310	WT2
ASV_486	WT2
ASV_930	WT2
ASV_296	WT2
ASV_377	WT2
ASV_398	WT2
ASV_333	WT2
ASV_629	WT2
ASV_641	WT2
ASV_337	WT2
ASV_367	WT2
ASV_428	WT2
ASV_390	WT2
ASV_411	WT2
ASV_434	WT2
ASV_746	WT2
ASV_1150	WT2
ASV_538	WT2
ASV_376	WT2
ASV_554	WT2
ASV_563	WT2
ASV_1309	WT2
ASV_940	WT2
ASV_458	WT2
ASV_441	WT2
ASV_550	WT2
ASV_552	WT2
ASV_971	WT2
ASV_609	WT2
ASV_838	WT2
ASV_1050	WT2
ASV_631	WT2
ASV_896	WT2
ASV_1180	WT2
ASV_887	WT2
ASV_973	WT2
ASV_812	WT2
ASV_114	WT3
ASV_141	WT3
ASV_147	WT3
ASV_246	WT3
ASV_190	WT3
ASV_189	WT3
ASV_268	WT3
ASV_240	WT3
ASV_199	WT3
ASV_248	WT3
ASV_319	WT3
ASV_275	WT3
ASV_328	WT3
ASV_355	WT3
ASV_405	WT3
ASV_305	WT3
ASV_1275	WT3
ASV_424	WT3
ASV_339	WT3
ASV_338	WT3
ASV_390	WT3
ASV_571	WT3
ASV_425	WT3
ASV_434	WT3
ASV_389	WT3
ASV_527	WT3
ASV_414	WT3
ASV_399	WT3
ASV_397	WT3
ASV_467	WT3
ASV_1309	WT3
ASV_1520	WT3
ASV_607	WT3
ASV_462	WT3
ASV_781	WT3
ASV_974	WT3
ASV_590	WT3
ASV_511	WT3
ASV_837	WT3
ASV_1506	WT3
ASV_508	WT3
ASV_490	WT3
ASV_573	WT3
ASV_521	WT3
ASV_546	WT3
ASV_525	WT3
ASV_846	WT3
ASV_1128	WT3
ASV_582	WT3
ASV_619	WT3
ASV_1083	WT3
ASV_985	WT3
ASV_819	WT3
ASV_655	WT3
ASV_789	WT3
ASV_887	WT3
ASV_162	WT4
ASV_169	WT4
ASV_535	WT4
ASV_246	WT4
ASV_216	WT4
ASV_193	WT4
ASV_234	WT4
ASV_268	WT4
ASV_261	WT4
ASV_313	WT4
ASV_1311	WT4
ASV_237	WT4
ASV_242	WT4
ASV_248	WT4
ASV_227	WT4
ASV_265	WT4
ASV_243	WT4
ASV_345	WT4
ASV_228	WT4
ASV_264	WT4
ASV_306	WT4
ASV_276	WT4
ASV_364	WT4
ASV_913	WT4
ASV_297	WT4
ASV_556	WT4
ASV_354	WT4
ASV_380	WT4
ASV_348	WT4
ASV_445	WT4
ASV_892	WT4
ASV_351	WT4
ASV_395	WT4
ASV_402	WT4
ASV_434	WT4
ASV_363	WT4
ASV_414	WT4
ASV_372	WT4
ASV_858	WT4
ASV_607	WT4
ASV_435	WT4
ASV_591	WT4
ASV_604	WT4
ASV_455	WT4
ASV_1241	WT4
ASV_638	WT4
ASV_754	WT4
ASV_1004	WT4
ASV_595	WT4
ASV_782	WT4
ASV_626	WT4
ASV_539	WT4
ASV_1142	WT4
ASV_759	WT4
ASV_1173	WT4
ASV_92	WT5
ASV_251	WT5
ASV_239	WT5
ASV_1311	WT5
ASV_237	WT5
ASV_255	WT5
ASV_1027	WT5
ASV_315	WT5
ASV_286	WT5
ASV_287	WT5
ASV_419	WT5
ASV_336	WT5
ASV_346	WT5
ASV_307	WT5
ASV_355	WT5
ASV_365	WT5
ASV_625	WT5
ASV_586	WT5
ASV_391	WT5
ASV_386	WT5
ASV_414	WT5
ASV_429	WT5
ASV_495	WT5
ASV_1459	WT5
ASV_418	WT5
ASV_612	WT5
ASV_742	WT5
ASV_604	WT5
ASV_594	WT5
ASV_1049	WT5
ASV_958	WT5
ASV_1168	WT5
ASV_663	WT5
ASV_1285	WT5
ASV_817	WT5
ASV_789	WT5
ASV_948	WT5
ASV_954	WT5
ASV_1444	WT5
ASV_1100	WT5
ASV_153	WT6
ASV_925	WT6
ASV_605	WT6
ASV_668	WT6
ASV_187	WT6
ASV_246	WT6
ASV_197	WT6
ASV_201	WT6
ASV_191	WT6
ASV_285	WT6
ASV_331	WT6
ASV_239	WT6
ASV_248	WT6
ASV_245	WT6
ASV_257	WT6
ASV_360	WT6
ASV_254	WT6
ASV_244	WT6
ASV_572	WT6
ASV_625	WT6
ASV_356	WT6
ASV_334	WT6
ASV_383	WT6
ASV_349	WT6
ASV_343	WT6
ASV_684	WT6
ASV_461	WT6
ASV_529	WT6
ASV_444	WT6
ASV_404	WT6
ASV_746	WT6
ASV_399	WT6
ASV_1017	WT6
ASV_1520	WT6
ASV_435	WT6
ASV_507	WT6
ASV_999	WT6
ASV_508	WT6
ASV_552	WT6
ASV_1214	WT6
ASV_829	WT6
ASV_696	WT6
ASV_1083	WT6
ASV_1134	WT6
ASV_693	WT6
ASV_949	WT6
ASV_1280	WT6
ASV_901	WT6
ASV_724	WT6
ASV_1360	WT6
ASV_126	KO1
ASV_179	KO1
ASV_925	KO1
ASV_160	KO1
ASV_605	KO1
ASV_193	KO1
ASV_220	KO1
ASV_209	KO1
ASV_249	KO1
ASV_253	KO1
ASV_232	KO1
ASV_265	KO1
ASV_327	KO1
ASV_499	KO1
ASV_378	KO1
ASV_355	KO1
ASV_289	KO1
ASV_305	KO1
ASV_583	KO1
ASV_296	KO1
ASV_1275	KO1
ASV_641	KO1
ASV_339	KO1
ASV_417	KO1
ASV_548	KO1
ASV_368	KO1
ASV_427	KO1
ASV_367	KO1
ASV_409	KO1
ASV_504	KO1
ASV_335	KO1
ASV_436	KO1
ASV_388	KO1
ASV_394	KO1
ASV_454	KO1
