Metabolite	Tissue
mws0258	FS3
mws0227	FS3
mws1167	FS3
mws0001	FS3
Lmgn000160	FS3
pme2527	FS3
MWSmce609	FS3
MWS1882	FS3
mws0275	FS3
Lmbn000198	FS3
Zmdp000972	FS3
pmb0374	FS3
HJKP000649	FS3
mws0889	FS3
pme0033	FS3
MWSmce584	FS3
pma0948	FS3
pma2987	FS3
pme3207	FS3
pme2879	FS3
Hmsp000364	FS3
MWS3020	FS3
Lmqp000427	FS3
pme2380	FS3
Wmzn000227	FS3
pme0026	FS3
pme0014	FS3
Zmgn000173	FS3
pmf0420	FS3
Lmxn006423	FS3
pme0183	FS3
pme1109	FS3
mws0943	FS3
pme0513	FS3
mws0437	FS3
MWSslk102	FS3
mws0254	FS3
pme2165	FS3
pmf0174	FS3
pme0128	FS3
mws2125	FS3
pme1383	FS3
Zmzn000078	FS3
Lmbn003524	FS3
MA10039492	FS3
mws0242	FS3
Zmyn000155	FS3
MWSmce119	FS3
Hmfn000531	FS3
pme2596	FS3
pmb1754	FS3
MWS1816	FS3
Zmgn000447	FS3
mws0237	FS3
mws0736	FS3
mws5041	FS3
pme0122	FS3
Zmjp000182	FS3
pme3388	FS3
MWSslk080	FS3
Zmzp000145	FS3
pme0075	FS3
pme0278	FS3
mws0281	FS3
Zmyn000453	FS3
mws0277	FS3
Zmyn000108	FS3
Zmpn000199	FS3
Hmcn000192	FS3
mws0863	FS3
pmb2507	FS3
MWS1900	FS3
pme1228	FS3
pme2755	FS3
mws2608	FS3
mws4174	FS3
pme2773	FS3
MWS4296	FS3
mws5042	FS3
pma6455	FS3
Lmhp001670	FS3
MWS0552	FS3
pme2827	FS3
MWS2910	FS3
MWS2430	FS3
MWS5231	FS3
Lmhp002031	FS3
Lmrj002087	FS3
pme3961	FS3
Rfmb087	FS3
pme2117	FS3
Zmgn000503	FS3
Rfmb320	FS3
pme0243	FS3
Lmmn003748	FS3
mws0217	FS4
pme2292	FS4
pme1987	FS4
Lmgn000188	FS4
MWS1787	FS4
MWS2040	FS4
MWSmce461	FS4
mws4052	FS4
pme1841	FS4
MWSmce585	FS4
pme3033	FS4
pme3011	FS4
pme3017	FS4
ML10172161	FS4
mws0574	FS4
mws0206	FS4
mws0576	FS4
pme1975	FS4
pmb0484	FS4
pme0010	FS4
pme2433	FS4
mws0267	FS4
mws0255	FS4
pme2122	FS4
pme0257	FS4
pme0006	FS4
pme0271	FS4
mws0823	FS4
mws0256	FS4
pme3096	FS4
mws0230	FS4
mws0671	FS4
pmp001287	FS4
pma0134	FS4
pme0195	FS4
pmp001086	FS4
Rfmb319	FS4
ML10181668	FS4
Zmdp000376	FS4
mws0425	FS4
mws1587	FS4
pme0274	FS4
mws0258	FS4
mws0227	FS4
mws1167	FS4
mws0473	FS4
mws0001	FS4
Lmgn000160	FS4
pme2527	FS4
MWSmce609	FS4
MWS1882	FS4
mws0275	FS4
Lmbn000198	FS4
Zmdp000972	FS4
pmb0374	FS4
HJKP000649	FS4
mws0889	FS4
MWSmce584	FS4
pma0948	FS4
pma2987	FS4
pme3207	FS4
pme2879	FS4
Hmsp000364	FS4
MWS3020	FS4
