Target_gene	Biological_process_description
IMPTAPA2N42872_1	cellular_amino_acid_metabolic_process
IMPTAPA2N9430_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N21029_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N17757_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N53249_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N37853_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N18486_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N33400_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N38057_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N37477_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N13131_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N39311_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N10825_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N42359_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N45614_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N12469_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N19692_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N3747_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N13686_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N49609_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N46780_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N4940_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N12537_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N29267_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N6540_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N36942_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N24974_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N14406_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N47628_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N2144_1	organonitrogen_compound_biosynthetic_process
