Gene	Transcription_factor
NM_008277	Nanog
NR_029640	Nanog
NM_008709	H3K27ac
NR_028427	H3K27ac
NM_009980	Med1
NR_027137	Med1
NM_018873	Esrrb
NM_009138	H3K4me1
NM_001145300	Nanog
NM_025448	Nanog
NM_023844	Med1
NM_010094	Med1
NM_009321	Nanog
NM_030704	H3K27ac
NM_175284	H3K27ac
NM_025386	Esrrb
NM_133218	H3K27ac
NM_025274	Esrrb
NM_001164074	H3K27ac
NM_008162	Med1
NM_008952	H3K4me1
NM_001085507	Med1
NM_001168526	H3K4me1
NM_001081286	Nanog
NR_027059	Med1
NM_177852	H3K27ac
NM_030732	H3K27ac
NM_015818	H3K27ac
NR_015532	Nanog
NM_026942	Nanog
NM_201395	Esrrb
NM_023755	H3K27ac
NM_007958	Esrrb
NR_027973	Esrrb
NM_023844	Nanog
NM_001017525	Esrrb
NM_027230	H3K27ac
NM_017479	H3K27ac
NM_201395	H3K4me1
NM_001115075	Esrrb
NM_001110827	Esrrb
NM_001080928	H3K4me1
NM_008952	Esrrb
NM_008492	Esrrb
NR_033626	H3K27ac
NM_008952	Med1
NR_029640	Sox2
NM_080575	Esrrb
NM_001042660	H3K27ac
NM_029896	H3K27ac
NM_001159401	Esrrb
NM_008267	Esrrb
NM_024440	H3K27ac
NM_178242	H3K27ac
NM_028838	H3K4me1
NM_007958	H3K27ac
NM_011263	H3K27ac
NM_177099	Med1
NM_175481	Esrrb
NM_010831	H3K4me1
NR_029777	H3K27ac
NM_013512	Nanog
NM_023146	Esrrb
NM_146036	Nanog
NM_027288	Esrrb
NM_007915	H3K27ac
NM_178671	H3K4me1
NM_198438	Esrrb
NM_001081177	H3K4me1
NM_054043	Esrrb
NM_145823	H3K27ac
NM_030724	Esrrb
NM_010139	H3K4me1
NM_001110827	Nanog
NM_183406	H3K27ac
NM_133847	Nanog
NM_172496	Esrrb
NM_008957	H3K27ac
NM_153382	Nanog
NM_026113	Med1
NM_026282	H3K27ac
NM_001163480	H3K27ac
NM_001083587	Med1
NM_021480	Med1
NM_001040400	H3K4me1
NM_011535	Sox2
NM_026984	Nanog
NM_001085507	Esrrb
NM_008857	H3K4me1
NM_173440	Esrrb
NM_010499	Esrrb
NM_008381	Esrrb
NM_026942	H3K4me1
NM_198627	H3K27ac
NM_001146000	H3K27ac
NM_183186	Nanog
NM_001159769	H3K27ac
NM_001112721	H3K4me1
NM_001081342	Esrrb
NM_001177776	Sox2
NR_015485	Esrrb
NM_001113209	Nanog
NM_134093	Esrrb
NM_001081177	H3K27ac
NM_018872	Sox2
NM_198618	H3K27ac
NM_030252	Nanog
NM_025290	H3K27ac
NM_175114	Esrrb
NM_178390	Nanog
NM_009834	Esrrb
NM_001029988	Nanog
NR_015485	Med1
NM_172963	Esrrb
NM_027227	Esrrb
NM_144841	Nanog
NM_007958	H3K4me1
NM_030704	H3K4me1
NM_030724	H3K4me1
NM_007836	Esrrb
NM_178114	H3K4me1
NM_011535	H3K4me1
NM_010495	H3K27ac
NM_028576	H3K4me1
NM_175272	H3K27ac
NM_020005	Sox2
NM_178242	Nanog
NR_030152	Med1
NM_178242	H3K4me1
