Gene	Transcription_factor
NR_030675	Med1
NM_001161773	Nanog
NM_007877	Esrrb
NM_175651	Esrrb
NM_172728	Esrrb
NM_021325	Nanog
NM_133256	Esrrb
NM_001127330	Nanog
NM_008815	H3K27ac
NM_033601	H3K27ac
NM_008562	Klf4
NM_019912	Esrrb
NM_145128	H3K4me1
NM_021604	H3K27ac
NM_009407	H3K4me1
NM_008147	Sox2
NM_019552	Esrrb
NM_144888	H3K4me1
NM_144831	Med1
NM_028035	Esrrb
NM_001163645	Nanog
NM_130879	Nanog
NM_011031	Med1
NM_033314	Esrrb
NM_019666	H3K27ac
NM_183161	Med1
NM_001159517	Esrrb
NM_001128606	H3K4me1
NM_145823	Nanog
NM_001100452	Esrrb
NR_035428	Nanog
NM_201609	Esrrb
NM_008853	Nanog
NM_015747	H3K27ac
NM_009834	H3K4me1
NR_033476	Sox2
NM_134156	Esrrb
NM_001123386	Nanog
NM_009872	Sox2
NM_172867	Esrrb
NM_026728	Nanog
NM_019514	Sox2
NM_009864	Med1
NM_011293	Esrrb
NM_026001	Nanog
NM_010495	Nanog
NM_133687	H3K27ac
NM_052994	H3K4me1
NM_025316	H3K4me1
NM_001166408	Med1
NM_145953	Esrrb
NM_009556	Klf4
NM_145394	Med1
NM_199476	Sox2
NM_001163154	Nanog
NM_008975	Esrrb
NM_173390	H3K4me1
NM_008782	Klf4
NM_001081417	H3K27ac
NR_003564	Sox2
NM_027721	Nanog
NR_033325	Sox2
NR_030695	Klf4
NM_026796	Esrrb
NM_021878	Esrrb
NM_013833	Sox2
NM_011857	Sox2
NM_011858	Nanog
NM_007836	H3K4me1
NM_001081209	Nanog
NM_001161845	Nanog
NM_172307	Nanog
NM_021532	H3K4me1
NM_001033789	Med1
NM_001080977	Nanog
NM_026027	Med1
NM_011372	Sox2
NM_011897	Nanog
NM_177005	H3K4me1
NM_033523	H3K27ac
NM_026615	Sox2
NM_028075	H3K4me1
NM_028598	Esrrb
NM_145076	Nanog
NM_001083587	Sox2
NM_134013	Sox2
NM_013464	Nanog
NM_153546	Nanog
NM_011984	Nanog
NM_001042660	Sox2
NM_001034851	Klf4
NM_026162	Nanog
NM_009623	Nanog
NM_007756	Sox2
NM_031881	Esrrb
NM_001033789	Nanog
NM_001024918	Sox2
NM_011439	Nanog
NM_012023	H3K27ac
NM_172681	Nanog
NM_153097	Med1
NM_001113399	Nanog
NM_028658	Nanog
NM_007870	Nanog
NM_001081202	Med1
NM_010427	Nanog
NM_028128	Esrrb
NR_030152	Sox2
NM_032000	Esrrb
NM_009271	Med1
NM_028133	Sox2
NM_001113209	H3K4me1
NM_133748	Esrrb
NM_025522	Med1
NM_009009	Esrrb
NM_177033	Nanog
NM_008782	Nanog
NM_021390	Sox2
NM_001163640	Med1
NR_035423	Med1
NM_153062	Nanog
NM_028921	Sox2
NM_010250	Nanog
NM_001034858	Nanog
NM_009332	H3K4me1
NM_013712	Esrrb
NM_011753	Nanog
NR_028586	Nanog
NM_010233	Nanog
NR_029384	Esrrb
NM_028850	Nanog
NM_175451	Esrrb
NM_173770	Nanog
NM_025938	Nanog
NM_001099624	Sox2
NM_007451	Esrrb
NM_172870	Esrrb
NM_010838	Klf4
NM_028615	Nanog
NM_001005477	Nanog
NM_009556	Nanog
NM_009229	Nanog
NM_027490	H3K4me1
NM_183021	H3K4me1
NM_146250	H3K27ac
NM_008808	Nanog
NM_001081336	H3K4me1
NM_001042541	H3K4me1
NM_146183	Sox2
NM_201529	Esrrb
NM_021492	Sox2
NR_027137	Sox2
NM_183186	H3K27ac
NM_001042660	Esrrb
NM_007515	Sox2
NR_003523	Sox2
NM_011293	Nanog
NM_007707	Nanog
NM_010580	Sox2
NM_027238	Nanog
NM_028016	Klf4
NM_001170789	Nanog
NM_001081088	H3K4me1
NM_033374	Sox2
NM_009709	H3K27ac
NM_001127382	Esrrb
NM_033523	Med1
NM_181848	Nanog
NM_001039198	H3K27ac
NM_021532	Esrrb
NM_198422	Nanog
NM_026487	Nanog
NM_028082	Nanog
NM_001042503	Med1
NM_001197322	H3K4me1
NM_008150	Nanog
NM_145076	Esrrb
NM_009508	Esrrb
NM_001001932	H3K27ac
NM_019971	Nanog
NM_031185	Sox2
NM_026104	Esrrb
NM_144530	H3K4me1
NM_001038698	Sox2
NM_009320	Klf4
NM_153530	Esrrb
NM_007625	Nanog
NM_175105	H3K4me1
NM_144883	H3K4me1
NM_008757	Nanog
NM_178280	Nanog
NM_010786	Nanog
NM_177222	Nanog
NM_022004	Sox2
NM_001033428	Esrrb
NM_026104	Nanog
NM_027238	Med1
NM_178114	Klf4
NM_024291	Esrrb
NM_001166414	Nanog
NM_025973	Sox2
NM_175654	Med1
NM_001081302	Nanog
NM_023755	Nanog
NM_001033306	H3K4me1
NM_054043	Med1
NM_148948	Sox2
NM_027726	Nanog
NM_175507	Nanog
NM_008381	Nanog
NM_175522	Esrrb
NM_021451	Esrrb
NM_031166	Sox2
NM_001083927	Nanog
NM_009412	Esrrb
NM_178059	Sox2
NM_181595	Esrrb
NM_007489	Med1
NM_008305	H3K27ac
NM_016677	Esrrb
NM_008842	Esrrb
NM_008983	Nanog
NM_013490	Med1
NM_020601	H3K4me1
NM_001166585	H3K4me1
NM_001114102	Sox2
NM_013780	Nanog
NR_001570	Sox2
NR_035450	Esrrb
NM_146243	Nanog
NM_001042503	Esrrb
NM_001024205	H3K4me1
NM_019516	Nanog
NM_146036	Esrrb
NM_019743	Med1
NM_025705	Med1
NM_021302	Nanog
NM_052993	Nanog
NM_001145897	H3K27ac
NM_011197	H3K4me1
NM_019805	Nanog
NM_001004149	Sox2
NR_029384	Med1
NM_028053	Sox2
NM_181444	H3K4me1
NM_146243	H3K27ac
NM_027238	Sox2
NM_001042503	H3K27ac
NM_172992	H3K4me1
NM_021391	Nanog
NM_198884	H3K27ac
NM_001105196	Nanog
NM_183154	Esrrb
NM_001110830	H3K27ac
NM_001163640	Sox2
NM_001163557	Nanog
NR_027881	Nanog
NM_009600	Esrrb
NM_178202	Med1
NM_009352	Sox2
NM_019794	H3K4me1
NM_011600	Esrrb
NM_172530	Sox2
NR_002847	H3K27ac
NM_001007589	H3K4me1
NM_008558	Esrrb
NM_177475	Nanog
NM_001177751	H3K27ac
NM_198298	Esrrb
NM_145742	Esrrb
NM_175092	Sox2
NM_021544	Nanog
NM_198298	H3K27ac
NM_018805	H3K4me1
NM_001001182	H3K4me1
NM_001033348	Nanog
NM_026255	Nanog
NM_008388	Nanog
NM_025901	Esrrb
NM_025700	Nanog
NM_001100452	Sox2
NM_172508	Nanog
NM_180974	Esrrb
NM_010513	Nanog
NM_025882	Med1
NM_145837	Med1
NM_028487	Nanog
NM_008480	Esrrb
NM_134037	Nanog
NM_001005507	H3K4me1
NM_013800	Nanog
NM_021532	H3K4me1
NM_001033274	Nanog
NM_001024474	Nanog
NM_028986	Nanog
NM_172870	Nanog
NM_133216	H3K4me1
NM_018871	H3K27ac
NM_009366	Klf4
NM_008575	H3K27ac
NM_175459	H3K4me1
NM_007697	Nanog
NM_013659	Esrrb
NM_019501	H3K27ac
NM_001037756	Nanog
NM_007897	Sox2
NM_011052	Sox2
NM_019490	Sox2
NM_172607	Med1
NM_001134460	Sox2
NM_001011829	Sox2
NM_199028	Sox2
NM_001039521	Esrrb
NM_008057	H3K4me1
NM_010436	Esrrb
NM_001099299	Nanog
NM_011897	Nanog
NM_028044	Med1
NM_028736	Esrrb
NM_026268	Sox2
NM_176952	Sox2
NM_178682	Esrrb
NM_009524	Nanog
NM_172517	Esrrb
NR_030644	H3K27ac
NM_013830	H3K4me1
NM_173001	Nanog
NM_025479	Nanog
NM_011139	Nanog
NM_001170591	Nanog
NM_025739	H3K4me1
NM_007974	Klf4
NM_010691	Esrrb
NM_172154	Nanog
NM_175105	H3K4me1
NM_001159634	Klf4
NM_009367	Nanog
NM_008772	Nanog
NM_011400	Nanog
NM_007836	Sox2
NM_019707	H3K4me1
NM_015747	Sox2
NM_172862	Esrrb
NM_173447	Esrrb
NM_133847	Klf4
NM_010137	H3K4me1
NM_199309	Klf4
NM_009128	H3K4me1
NM_001083587	Nanog
NM_029720	H3K27ac
NM_145218	Nanog
NM_011682	H3K4me1
NM_008538	Sox2
NM_173746	Nanog
NM_021604	Esrrb
NM_001099634	Esrrb
NM_145455	Nanog
NM_025448	H3K4me1
NM_024279	Nanog
NM_015818	Nanog
NM_153409	H3K4me1
NM_001113386	H3K27ac
NM_133832	Nanog
NM_001143777	Nanog
NM_194341	Nanog
NM_172415	Nanog
NR_035442	Esrrb
NM_133710	Esrrb
NM_015767	Sox2
NM_007394	H3K27ac
NM_146606	Nanog
NR_030762	H3K27ac
NM_183263	Med1
NM_010118	Nanog
NM_008262	Nanog
NM_178748	Esrrb
NM_053202	Klf4
NM_027189	Med1
NM_177780	Nanog
NM_178242	Klf4
NM_145570	Esrrb
NM_177222	H3K27ac
NM_026931	Nanog
NM_031185	Nanog
NM_001042660	Nanog
NM_173069	Nanog
NM_009706	Esrrb
NM_145700	Sox2
NM_144530	Med1
NM_007646	Esrrb
NM_207238	H3K27ac
NM_172681	Nanog
NM_008124	Med1
NM_027722	Nanog
NM_011052	Esrrb
NM_183116	Sox2
NM_015818	Sox2
NM_010617	Nanog
NM_001167981	Esrrb
NM_053202	Med1
NM_025860	Nanog
NM_054043	Esrrb
NM_177059	Nanog
NM_001142918	Sox2
NM_026627	Med1
NM_001033274	Sox2
NM_033604	Esrrb
NM_022321	Nanog
NM_001081027	Nanog
NM_001081400	Nanog
NM_028876	H3K4me1
NM_008453	H3K27ac
NM_011790	Nanog
NM_008429	Nanog
NM_029570	H3K27ac
NM_177845	Nanog
NM_001033324	Nanog
NM_013494	H3K4me1
NM_001001495	Nanog
NM_011256	Nanog
NM_008124	Esrrb
NM_021362	Nanog
NM_133962	Sox2
NM_177082	Nanog
NM_001160251	Nanog
NM_001033765	Nanog
NM_001109761	Nanog
NM_007791	Nanog
NM_009208	Nanog
NM_019643	Med1
NM_028046	Sox2
NM_024209	Sox2
NM_026005	Esrrb
NM_194350	Esrrb
NM_007872	H3K4me1
NM_001031811	Nanog
NM_001114879	Sox2
NM_027594	Nanog
NM_001024918	Nanog
NM_001033446	Nanog
NM_008679	Med1
NM_011742	Nanog
NM_029761	H3K4me1
NM_028133	H3K4me1
NM_177033	Sox2
NM_146250	H3K4me1
NM_028880	H3K4me1
NM_139144	Nanog
NM_028133	Med1
NM_177834	Nanog
NM_172260	Sox2
NR_033139	H3K27ac
NM_176921	H3K27ac
NM_027570	Nanog
NM_007657	H3K4me1
NM_007628	H3K4me1
NM_001159514	Nanog
NR_030690	Med1
NM_009910	Nanog
NM_138315	Nanog
NM_027594	Esrrb
NM_153062	Esrrb
NM_144552	Sox2
NM_001195732	H3K4me1
NM_172681	Sox2
NM_181595	Nanog
NM_027694	Klf4
NM_010315	Nanog
NM_023844	Klf4
NM_001081142	Nanog
NM_001081139	Nanog
NM_001017525	H3K4me1
NM_153522	Esrrb
NM_030563	Klf4
NM_009818	Sox2
NM_019426	Sox2
NM_011682	H3K27ac
NM_030261	H3K4me1
NM_001159696	Nanog
NM_001127261	Sox2
NM_001081125	Klf4
NM_030690	H3K27ac
NM_001083587	Klf4
NM_028448	Sox2
NM_001166728	Nanog
NM_013867	H3K4me1
NM_018748	Nanog
NM_007515	Nanog
NM_027884	Esrrb
NM_025741	Nanog
NM_001123371	H3K4me1
NM_001101560	Sox2
NM_019764	Med1
NM_197996	H3K4me1
NM_198000	Esrrb
NM_001024474	H3K4me1
NM_031166	Nanog
NM_008744	Med1
NM_145506	Nanog
NM_172518	Esrrb
NM_146036	Esrrb
NR_033568	H3K27ac
NR_015512	Sox2
NM_001168526	Sox2
NM_007415	Nanog
NM_011934	Klf4
NM_007400	Esrrb
NM_008629	Med1
NM_021451	Nanog
NM_001162942	Nanog
NM_015767	Nanog
NM_177233	Sox2
NM_009321	Esrrb
NM_026539	H3K4me1
NM_019689	Nanog
NM_177386	Nanog
NM_015798	Med1
NM_008393	Nanog
NM_013514	Sox2
NM_025417	Nanog
NM_001163632	Esrrb
NM_019733	Sox2
NM_028576	Med1
NM_012058	Med1
NM_021604	Klf4
NM_010731	Med1
NM_008990	Nanog
NM_010849	H3K4me1
NM_177632	Esrrb
NM_008343	Nanog
NM_026576	Nanog
NM_010425	Klf4
NM_148933	Klf4
NM_001167981	Sox2
NM_028804	Nanog
NM_010486	Nanog
NM_001113209	Sox2
NM_001159965	Med1
NM_028030	Nanog
NM_029788	Nanog
NM_008857	Sox2
NR_036601	Nanog
NM_011143	Sox2
NM_172912	Sox2
NR_033511	H3K27ac
NM_008003	Esrrb
NM_021394	Med1
NM_009574	Sox2
NM_010600	Esrrb
NM_177101	Sox2
NM_007744	Nanog
NM_008083	Esrrb
NM_001025074	H3K4me1
NR_033623	H3K27ac
NM_019677	Esrrb
NM_001167967	H3K27ac
NM_153546	Sox2
NM_018873	H3K4me1
NM_054050	Med1
NM_025624	Esrrb
NM_001018013	Nanog
NM_012035	Nanog
NM_001081160	Esrrb
NR_027643	Nanog
NM_008853	Sox2
NM_146606	Sox2
NM_001195732	Sox2
NM_011876	H3K27ac
NM_028072	Esrrb
NM_001128092	Nanog
NM_011535	Esrrb
NM_028956	Nanog
NM_001159299	Nanog
NM_001033194	Sox2
NM_001081377	Sox2
NM_139218	H3K27ac
NM_009574	Med1
NM_001145060	H3K4me1
NM_021480	Esrrb
NM_028816	Esrrb
NM_008709	H3K27ac
NM_001080979	Med1
NM_172948	Esrrb
NM_007693	Nanog
NM_010725	Nanog
NR_024599	H3K4me1
NM_028004	Esrrb
NM_001166408	Esrrb
NM_011276	Esrrb
NM_022319	Nanog
NM_134013	H3K27ac
NR_030403	H3K27ac
NR_028311	Sox2
NM_028035	Klf4
NM_177909	H3K4me1
NM_173374	H3K27ac
NM_007702	Sox2
NM_001166584	Klf4
NM_017461	Esrrb
NM_013582	Nanog
NM_012035	Sox2
NR_002445	Klf4
NM_133766	Sox2
NM_011856	Nanog
NM_001013829	Nanog
NM_027558	Nanog
NM_011382	Esrrb
NM_013494	Nanog
NM_001012726	Esrrb
NM_181073	Nanog
NM_020560	Nanog
NM_008709	Esrrb
NM_010933	Esrrb
NM_172758	Med1
NM_013780	Esrrb
NM_009483	Nanog
NM_027897	H3K4me1
NM_011780	Nanog
NM_008235	Med1
NM_178633	Esrrb
NM_011551	H3K4me1
NM_026969	Esrrb
NM_026576	Esrrb
NM_172665	Med1
NM_183087	Nanog
NR_015372	Sox2
NM_016803	Nanog
NM_183186	H3K4me1
NM_172913	Sox2
NM_001039521	Nanog
NM_026438	Nanog
NM_026157	Sox2
NM_183116	H3K4me1
NM_010427	Sox2
NM_001102423	Nanog
NM_199309	Esrrb
NM_011972	Nanog
NM_029654	Nanog
NM_010064	H3K4me1
NM_011141	Nanog
NM_001099299	H3K27ac
NM_013464	Sox2
NM_021532	Nanog
NM_011241	Klf4
NM_015798	Nanog
NM_007983	Nanog
NM_177005	Nanog
NM_001101609	H3K4me1
NM_007378	Nanog
NM_007706	H3K4me1
NM_030732	H3K27ac
NM_001164077	Sox2
NM_001099634	Esrrb
NM_029422	Esrrb
NM_010896	Nanog
NM_033374	Nanog
NM_001037809	Nanog
NM_029736	H3K27ac
NR_029557	H3K27ac
NM_153085	Esrrb
NM_183278	Sox2
NM_027106	Med1
NM_026931	Sox2
NM_133833	Nanog
NM_175349	H3K4me1
NM_008049	Sox2
NM_144530	Esrrb
NM_001033259	Esrrb
NR_015614	Nanog
NM_053273	Esrrb
NM_130892	Nanog
NM_022327	Nanog
NR_015532	Med1
NM_007974	Sox2
NM_008924	Nanog
NM_009252	Nanog
NM_011987	Esrrb
NM_009642	Nanog
NM_138315	Esrrb
NR_030491	Nanog
NM_178760	H3K4me1
NR_027388	H3K4me1
NM_010342	Nanog
NM_011934	Esrrb
NM_144881	Nanog
NM_008492	H3K4me1
NM_007930	Sox2
NM_001081665	Sox2
NM_008342	Sox2
NM_001160317	Nanog
NM_201371	Esrrb
NM_134438	Sox2
NM_019743	Nanog
NM_001033306	Nanog
NM_011817	Esrrb
NM_031185	Esrrb
NM_010274	Nanog
NM_008709	Sox2
NM_001159538	H3K4me1
NM_027544	Med1
NM_134013	H3K4me1
NM_026615	Sox2
NM_001159634	Sox2
NM_029458	Nanog
NM_001081349	H3K4me1
NM_026015	Nanog
NM_001081336	Nanog
NM_172689	Nanog
NM_170786	Nanog
NM_026574	Nanog
NM_013661	H3K27ac
NM_015753	Sox2
NM_172671	H3K4me1
NM_011035	Nanog
NM_001122889	Nanog
NM_026470	Nanog
NM_010898	Esrrb
NM_001164578	Esrrb
NR_015595	Med1
NM_008652	Klf4
NR_027137	Nanog
NR_029959	Nanog
NM_001035533	H3K27ac
NM_001085521	Nanog
NM_198438	Med1
NM_016888	H3K27ac
NR_030675	Nanog
NM_181444	Esrrb
NM_001024474	Nanog
NM_153156	H3K4me1
NM_144888	H3K27ac
NM_008679	Nanog
NM_030141	H3K27ac
NM_010954	Sox2
NM_008057	H3K27ac
NM_001142918	H3K27ac
NM_172409	Esrrb
NM_001184709	Sox2
NM_007911	Sox2
NM_011030	Sox2
NM_178621	Nanog
NM_008629	H3K4me1
NM_153382	Sox2
NM_027539	Med1
NM_001110830	Nanog
NM_001038635	Esrrb
NM_001085440	H3K27ac
NM_017479	Sox2
NM_011385	Esrrb
NM_011742	Esrrb
NM_008681	Nanog
NM_177860	Nanog
NM_029896	Sox2
NM_001030306	Sox2
NR_026907	Esrrb
NM_172496	Klf4
NM_029422	Nanog
NM_026566	Nanog
NM_008317	Esrrb
NM_053117	Nanog
NM_027711	H3K4me1
NM_010329	Esrrb
NM_175459	Esrrb
NM_001081378	Nanog
NM_001167922	Esrrb
NR_028060	Sox2
NM_001081682	H3K4me1
NM_019743	H3K4me1
NM_001164077	H3K4me1
NM_001033194	Nanog
NM_007930	H3K4me1
NM_007771	Nanog
NM_001113559	Sox2
NM_010295	Nanog
NM_001083927	Sox2
NM_172765	Klf4
NM_178671	Esrrb
NM_016869	Sox2
NM_027547	Nanog
NM_174991	H3K4me1
NM_012058	Nanog
NM_194341	Sox2
NM_010202	Sox2
NM_080793	Nanog
NM_019743	Esrrb
NM_001145060	Nanog
NM_027947	Sox2
NM_177420	Nanog
NM_028004	Esrrb
NM_028908	H3K27ac
NM_053014	Esrrb
NM_001013761	Sox2
NM_019677	Sox2
NM_013813	Nanog
NM_001085507	Nanog
NM_027049	Sox2
NM_025494	Esrrb
NM_012023	Klf4
NM_026615	H3K27ac
NM_172441	Nanog
NM_001163675	Nanog
NM_134115	Sox2
NM_009575	Med1
NM_001164074	H3K4me1
NM_009721	Nanog
NM_019800	Sox2
NM_009954	H3K27ac
NM_009270	Nanog
NM_026470	H3K4me1
NM_026731	H3K27ac
NR_027968	Nanog
NM_007935	Nanog
NM_009871	Nanog
NM_019983	H3K27ac
NM_026391	Med1
NM_027547	Nanog
NM_175162	Esrrb
NM_023668	Nanog
NM_011959	Esrrb
NR_030403	Sox2
NM_019426	Klf4
NM_178059	Esrrb
NM_020005	H3K27ac
NM_153153	Esrrb
NM_183261	Nanog
NM_011274	H3K4me1
NM_001146180	Nanog
NM_175513	Nanog
NM_144530	Nanog
NM_001127265	Sox2
NM_030199	Nanog
NM_022721	Med1
NM_207531	Nanog
NM_001113386	H3K4me1
NM_026815	Klf4
NM_001167691	Med1
NM_053202	H3K27ac
NM_008053	H3K27ac
NM_001083927	H3K27ac
NM_010420	Nanog
NR_033144	Esrrb
NM_001122948	Nanog
NM_010109	Nanog
NM_010603	Nanog
NM_011365	Nanog
NM_007961	Sox2
NM_007715	Nanog
NM_029297	Esrrb
NM_001161845	Nanog
NM_181277	H3K4me1
NM_028072	Klf4
NM_009031	Nanog
NM_019636	H3K27ac
NM_010896	Sox2
NM_181413	Nanog
NM_010849	Esrrb
NM_019490	Esrrb
NM_025358	Nanog
NM_027922	Esrrb
NM_026210	Esrrb
NM_178606	Nanog
NM_001195390	Nanog
NM_001083587	Klf4
NM_011439	Klf4
NM_001024919	Esrrb
NM_029961	Nanog
NM_007722	H3K4me1
NM_133835	Sox2
NM_008337	Nanog
NM_029357	H3K4me1
NR_030701	Nanog
NM_172862	Esrrb
NM_008426	H3K4me1
NM_175653	Med1
NM_144549	Esrrb
NM_173425	Sox2
NM_146252	Nanog
NM_023403	Sox2
NM_007632	Sox2
NM_008816	Med1
NM_175332	Nanog
NR_035450	Sox2
NM_173437	H3K27ac
NM_008964	Nanog
NM_130447	Sox2
NM_021876	Esrrb
NM_001034097	Sox2
NM_023370	Nanog
NM_008053	Nanog
NM_175522	Nanog
NM_173011	Nanog
NM_008114	Esrrb
NM_021544	Esrrb
NM_153062	Med1
NM_008266	Esrrb
NM_183161	Klf4
NM_025901	Nanog
NM_008492	Sox2
NM_029587	Nanog
NM_172493	Nanog
NM_145528	H3K4me1
NM_181595	H3K27ac
NM_001123371	Nanog
NM_001168526	Esrrb
NM_001109687	Nanog
NM_007791	H3K27ac
NM_008990	Sox2
NM_029635	Esrrb
NM_172308	Med1
NR_028427	Esrrb
NM_008485	Esrrb
NM_153079	H3K27ac
NM_025739	H3K4me1
NM_001195767	H3K27ac
NM_009037	Sox2
NM_029884	H3K27ac
NM_153097	Esrrb
NM_178912	Nanog
NM_007747	Med1
NM_144531	H3K4me1
NM_029422	Nanog
NM_011274	Sox2
NM_009237	Esrrb
NM_010745	H3K27ac
NM_009622	Med1
NM_198618	Nanog
NM_007487	Nanog
NM_198618	Sox2
NM_026282	Klf4
NM_030749	Nanog
NR_029557	Esrrb
NM_146028	Nanog
NM_183161	Esrrb
NM_030252	H3K27ac
NM_178059	H3K27ac
NM_175654	Nanog
NM_177776	Esrrb
NM_170758	Esrrb
NM_146051	Esrrb
NM_009128	Med1
NM_198610	H3K27ac
NM_053100	Med1
NM_007747	Nanog
NM_011439	Nanog
NM_001195390	Med1
NR_015460	Nanog
NM_201366	Med1
NM_019636	Med1
NM_001197028	Nanog
NM_010732	Nanog
NM_178671	Med1
NM_027941	H3K27ac
NM_177678	Esrrb
NM_009785	Esrrb
NM_178606	H3K27ac
NM_023403	Klf4
NM_008083	Nanog
NM_001085521	Nanog
NM_001163501	Nanog
NM_019409	Sox2
NM_145836	H3K27ac
NM_134005	Nanog
NM_001101603	Nanog
NM_146051	Med1
NM_172285	H3K4me1
NM_019794	Med1
NM_019468	Nanog
NM_054056	Nanog
NM_011048	Nanog
NM_001177650	Sox2
NM_028487	Esrrb
NR_015460	Sox2
NM_030732	H3K4me1
NM_172911	Nanog
NM_175522	Sox2
NM_011851	Sox2
NM_001033463	Esrrb
NM_008217	Nanog
NM_007722	H3K27ac
NM_172665	Esrrb
NM_020601	Nanog
NM_009954	Med1
NM_008957	Med1
NM_009556	Esrrb
NM_001033389	Nanog
NM_010687	Nanog
NM_001099299	Nanog
NM_023755	Sox2
NM_028451	Sox2
NM_054046	Esrrb
NM_011934	Sox2
NM_133942	H3K27ac
NM_145581	H3K4me1
NM_009367	H3K4me1
NM_133847	H3K4me1
NM_173011	H3K27ac
NM_007937	Nanog
NM_029444	Nanog
NM_026566	H3K27ac
NM_016719	Nanog
NM_133816	Esrrb
NM_026441	Nanog
NM_026502	Nanog
NM_181848	H3K4me1
NM_001081337	H3K27ac
NM_011139	Esrrb
NM_001166584	H3K4me1
NM_008709	Klf4
NM_016889	H3K4me1
NM_027227	H3K27ac
NM_019574	Nanog
NM_029570	Med1
NM_018885	Sox2
NM_013780	Sox2
NM_199195	H3K4me1
NM_177909	Sox2
NM_023141	Esrrb
NM_010188	Nanog
NM_001160412	Med1
NM_172833	Nanog
NM_181541	Nanog
NM_057172	Esrrb
NM_007936	Esrrb
NM_009538	Esrrb
NM_029736	Nanog
NM_001033440	Nanog
NM_017461	Nanog
NM_133833	Sox2
NM_001172160	H3K4me1
NM_001081349	Esrrb
NM_199195	Nanog
NM_013928	Nanog
NM_008855	Nanog
NM_177740	H3K4me1
NM_173451	H3K4me1
NM_198022	Nanog
NM_029770	H3K27ac
NM_001102670	Nanog
NM_001042489	Sox2
NM_172868	Klf4
NM_008235	H3K27ac
NM_016861	Esrrb
NM_009769	Sox2
NM_198609	Nanog
NM_001081103	Nanog
NM_007512	H3K27ac
NM_139218	Sox2
NM_008078	Nanog
NM_001012323	Nanog
NM_007532	H3K27ac
NM_029531	Nanog
NM_022721	H3K27ac
NM_010816	Nanog
NM_026240	Nanog
NM_001159517	H3K27ac
NM_173390	Nanog
NM_001128308	Nanog
NM_001100452	Med1
NM_177857	H3K27ac
NM_172809	H3K27ac
NM_198298	H3K4me1
NM_146920	Nanog
NM_027456	Nanog
NM_001042660	Med1
NM_011708	Esrrb
NM_001190352	Nanog
NM_172723	Klf4
NM_011031	Nanog
NM_020005	Nanog
NM_019643	Nanog
NM_173393	Nanog
NM_001037098	Nanog
NM_011048	Med1
NM_008983	Esrrb
NM_009786	H3K4me1
NM_020601	Nanog
NM_001081139	Klf4
NR_030432	Sox2
NM_027270	Nanog
NM_029755	Nanog
NM_011176	Esrrb
NM_001001185	Esrrb
NM_025290	Sox2
NM_153576	Med1
NM_001159383	H3K4me1
NM_013720	H3K27ac
NM_011276	H3K4me1
NM_010725	Sox2
NM_001081139	Sox2
NM_001115150	Nanog
NM_008538	H3K4me1
NM_022435	Sox2
NM_027722	Esrrb
NM_008127	Esrrb
NM_001033348	Nanog
NM_207205	Nanog
NM_021463	H3K27ac
NM_001128084	Nanog
NM_018773	Esrrb
NM_029770	Nanog
NM_009022	H3K4me1
NM_008255	Esrrb
NM_009407	Klf4
NR_029384	Esrrb
NM_008842	Med1
NM_025919	Nanog
NM_016853	H3K4me1
NM_173863	Esrrb
NM_001042523	Esrrb
NM_007564	H3K4me1
NM_007726	Nanog
NM_001081182	Nanog
NM_009203	H3K27ac
NM_028270	Nanog
NM_198000	Med1
NM_177832	Esrrb
NM_001110824	Med1
NM_001081258	Nanog
NR_029576	Esrrb
NM_016889	Sox2
NM_030727	Nanog
NM_001033399	Esrrb
NM_028156	Esrrb
NM_001195767	Esrrb
NM_177632	H3K4me1
NM_178394	Nanog
NM_010574	Nanog
NM_001110826	Med1
NM_028004	Nanog
NM_001159603	H3K27ac
NM_007451	Med1
NM_026496	Nanog
NM_009469	Nanog
NM_178678	Sox2
NM_172630	Sox2
NM_001113209	Esrrb
NR_036591	H3K4me1
NM_173866	Sox2
NM_183189	Sox2
NM_001024919	Sox2
NM_011984	Sox2
NM_027230	H3K4me1
NM_023887	Nanog
NM_001081209	H3K4me1
NM_029364	Nanog
NM_028850	Nanog
NM_025290	Nanog
NM_027266	Nanog
NM_001080928	Nanog
NM_001164074	H3K4me1
NM_008314	Esrrb
NM_001033759	Nanog
NM_177363	H3K4me1
NM_198671	H3K27ac
NM_010233	Esrrb
NM_010329	Nanog
NM_028132	Nanog
NM_001142727	Med1
NM_021895	Esrrb
NM_144531	Nanog
NM_026514	Nanog
NM_145938	Sox2
NM_174857	Nanog
NM_001161845	H3K4me1
NM_211138	H3K4me1
NM_138682	H3K4me1
NM_001081345	Sox2
NM_011445	H3K4me1
NM_172595	Sox2
NM_181817	Nanog
NM_001110830	H3K4me1
NM_172833	Sox2
NR_033689	Esrrb
NM_133847	Esrrb
NM_008381	Nanog
NM_177376	Nanog
NM_001081178	H3K4me1
NM_175284	Esrrb
NM_011401	Klf4
NM_008969	Nanog
NM_013825	Med1
NM_008143	Nanog
NM_001033347	Nanog
NM_029282	H3K4me1
NM_011897	Sox2
NM_001167873	Esrrb
NM_010828	Nanog
NM_028554	Nanog
NM_146018	H3K4me1
NM_021480	Klf4
NM_001039536	Med1
NM_177030	H3K27ac
NM_152915	Nanog
NM_001103179	Nanog
NM_153097	Nanog
